央视频道,#genre#
CCTV-1 综合,http://[2409:8087:74d9:21::9]/270000001128/9900000501/index.m3u8
CCTV-2 财经,http://[2409:8087:74d9:21::9]/270000001128/9900000502/index.m3u8
CCTV-3 综艺,http://[2409:8087:74d9:21::9]/270000001128/9900000003/index.m3u8
CCTV-4 中文国际,http://[2409:8087:74d9:21::9]/270000001128/9900000503/index.m3u8
CCTV-5 体育,http://[2409:8087:74d9:21::a]/270000001128/9900000005/index.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:74d9:21::5]/270000001128/9900000507/index.m3u8
CCTV-6 电影,http://[2409:8087:74d9:21::9]/270000001128/9900000006/index.m3u8
CCTV-7 国防军事,http://[2409:8087:74d9:21::6]/270000001128/9900000504/index.m3u8
CCTV-8 电视剧,http://[2409:8087:74d9:21::6]/270000001128/9900000008/index.m3u8
CCTV-9 纪录,http://[2409:8087:74d9:21::9]/270000001128/9900000505/index.m3u8
CCTV-10 科教,http://[2409:8087:74d9:21::9]/270000001128/9900000506/index.m3u8
CCTV-11 戏曲,http://[2409:8087:74d9:21::9]/270000001128/9900000508/index.m3u8
CCTV-12 社会与法,http://[2409:8087:74d9:21::9]/270000001128/9900000509/index.m3u8
CCTV-13 新闻,http://[2409:8087:74d9:21::9]/270000001128/9900000510/index.m3u8
CCTV-14 少儿,http://[2409:8087:74d9:21::9]/270000001128/9900000511/index.m3u8
CCTV-15 音乐,http://[2409:8087:74d9:21::9]/270000001128/9900000512/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:74d9:21::6]/270000001128/9900000016/index.m3u8
CCTV-17 农业农村,http://[2409:8087:74d9:21::9]/270000001128/9900000513/index.m3u8

CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4 中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+ 体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7 国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
